258,312,261,315
75,315,231,471
249,315,261,327
252,315,261,324
255,315,261,321
315,315,315,315
75,318,228,471
75,321,225,471
315,321,315,321
75,324,222,471
195,324,261,390
75,327,219,471
195,327,261,393
273,327,306,360
75,330,216,471
195,330,258,393
273,330,273,330
75,333,213,471
195,333,258,396
75,336,210,471
195,336,255,396
270,336,288,354
75,339,207,471
195,339,252,396
270,339,300,369
276,339,288,351
168,342,186,360
171,342,189,360
174,342,192,360
177,342,195,360
180,342,198,360
183,342,201,360
186,342,204,360
189,342,246,399
192,342,249,399
195,342,252,399
267,342,285,360
270,342,285,357
282,342,303,363
285,342,306,363
78,345,204,471
78,348,201,471
171,348,183,360
78,351,198,471
168,351,177,360
171,351,180,360
78,354,195,471
156,354,165,363
162,354,171,363
165,354,171,360
168,354,174,360
156,357,162,363
162,357,168,363
294,357,303,366
78,360,189,471
81,360,192,471
156,360,159,363
294,360,303,369
78,363,186,471
291,363,300,372
78,366,183,471
210,366,246,402
288,366,300,378
291,366,300,375
66,369,66,369
78,369,180,471
78,372,177,471
213,372,246,405
282,372,294,384
60,375,60,375
63,375,63,375
78,375,174,471
189,375,207,393
192,375,216,399
195,375,222,402
207,375,240,408
210,375,243,408
213,375,243,405
282,375,291,384
54,378,57,381
57,378,57,378
60,378,60,378
78,378,171,471
189,378,204,393
201,378,228,405
204,378,231,405
207,378,237,408
282,378,291,387
42,381,48,387
45,381,51,387
48,381,51,384
51,381,54,384
54,381,54,381
78,381,168,471
282,381,291,390
36,384,42,390
39,384,45,390
42,384,45,387
78,384,165,471
276,384,285,393
279,384,288,393
282,384,288,390
30,387,36,393
33,387,39,393
36,387,39,390
75,387,159,471
78,387,162,471
195,387,201,393
276,387,285,396
27,390,33,396
30,390,36,396
75,390,156,471
192,390,195,393
195,390,198,393
276,390,282,396
24,393,30,399
27,393,30,396
75,393,153,471
189,393,195,399
192,393,195,396
276,393,285,402
24,396,27,399
72,396,147,471
75,396,150,471
189,396,192,399
273,396,285,408
276,396,285,405
15,399,15,399
21,399,24,402
24,399,27,402
72,399,144,471
273,399,285,411
9,402,9,402
12,402,12,402
21,402,24,405
273,402,342,471
3,405,12,414
6,405,18,417
9,405,18,414
21,405,21,405
75,405,141,471
270,405,336,471
273,405,339,471
0,408,63,471
3,408,12,417
15,408,15,408
75,408,138,471
270,408,333,471
0,411,60,471
75,411,135,471
0,414,57,471
75,414,132,471
270,414,327,471
273,414,330,471
0,417,54,471
75,417,129,471
267,417,321,471
270,417,324,471
0,420,51,471
18,420,27,429
255,420,306,471
258,420,309,471
261,420,312,471
264,420,315,471
267,420,318,471
0,423,48,471
18,423,33,438
78,423,126,471
252,423,300,471
255,423,303,471
297,423,345,471
300,423,348,471
0,426,45,471
78,426,123,471
195,426,240,471
228,426,273,471
231,426,276,471
234,426,279,471
237,426,282,471
240,426,285,471
246,426,291,471
249,426,294,471
252,426,297,471
0,429,42,471
78,429,120,471
201,429,243,471
204,429,246,471
207,429,249,471
210,429,252,471
213,429,255,471
222,429,264,471
225,429,267,471
228,429,270,471
246,429,288,471
0,432,39,471
78,432,117,471
219,432,258,471
222,432,261,471
312,432,351,471
0,435,36,471
78,435,114,471
318,435,354,471
321,435,357,471
0,438,33,471
327,438,360,471
330,438,363,471
0,441,30,471
81,441,111,471
336,441,366,471
339,441,369,471
342,441,372,471
345,441,375,471
348,441,375,468
351,441,375,465
0,444,27,471
39,444,66,471
81,444,108,471
357,444,375,462
0,447,24,471
81,447,105,471
363,447,375,459
375,447,375,447
0,450,21,471
369,450,375,456
375,450,375,450
0,453,18,471
84,453,102,471
375,453,375,453
0,456,15,471
0,459,12,471
57,459,69,471
87,459,99,471
0,462,9,471
0,465,6,471
90,465,96,471
0,468,3,471
0,471,0,471
72,471,72,471
93,471,93,471
